,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
134,12,19,40.68223166,-73.9614583,365,1,In Service,False,31
135,25,8,40.693261,-73.968896,366,1,In Service,False,33
136,19,17,40.73038599,-74.00214988,368,1,In Service,False,39
137,29,6,40.73224119,-74.00026394,369,1,In Service,False,35
138,19,8,40.694528,-73.958089,372,1,In Service,False,27
139,15,4,40.69331716,-73.95381995,373,1,In Service,False,19
140,16,27,40.70862144,-74.00722156,376,1,In Service,False,43
141,1,43,40.72243797,-74.00566443,377,1,In Service,False,45
142,21,21,40.749156,-73.9916,379,1,In Service,False,42
143,31,3,40.73401143,-74.00293877,380,1,In Service,False,39
144,3,28,40.73492695,-73.99200509,382,1,In Service,False,36
145,34,5,40.735238,-74.000271,383,1,In Service,False,39
146,27,4,40.683048,-73.964915,384,1,In Service,False,31
147,3,25,40.75797322,-73.96603308,385,1,In Service,False,29
148,8,34,40.71494807,-74.00234482,386,1,In Service,False,43
149,19,19,40.71273266,-74.0046073,387,1,In Service,False,39
150,9,26,40.749717753,-74.002950346,388,1,In Service,False,35
151,21,4,40.71044554,-73.96525063,389,1,In Service,False,27
152,7,19,40.69221589,-73.9842844,390,1,In Service,False,31
153,2,27,40.69760127,-73.99344559,391,1,In Service,False,31
154,19,10,40.695065,-73.987167,392,1,In Service,False,35
155,30,1,40.72299208,-73.97995466,393,1,In Service,False,31
156,28,4,40.72521311,-73.97768752,394,1,In Service,False,32
157,18,12,40.68807003,-73.98410637,395,1,In Service,False,30
158,22,3,40.680342423,-73.9557689392,396,1,In Service,False,25
159,12,12,40.68415748,-73.96922273,397,1,In Service,False,27
160,26,4,40.69165183,-73.9999786,398,1,In Service,False,31
161,13,14,40.68851534,-73.9647628,399,1,In Service,False,27
162,14,0,40.71926081,-73.98178024,400,1,In Service,False,15
163,26,16,40.72019576,-73.98997825,401,1,In Service,False,42
164,3,30,40.7403432,-73.98955109,402,1,In Service,False,39
165,31,0,40.72502876,-73.99069656,403,1,In Service,False,31
166,20,16,40.739323,-74.008119,405,1,In Service,False,40
167,7,26,40.69512845,-73.99595065,406,1,In Service,False,34
168,3,34,40.700469,-73.991454,407,1,In Service,False,37
169,19,4,40.71076228,-73.99400398,408,1,In Service,False,23
170,6,13,40.6906495,-73.95643107,409,1,In Service,False,19
171,28,4,40.72066442,-73.98517977,410,1,In Service,False,35
172,13,10,40.72228087,-73.97668709,411,1,In Service,False,23
173,28,1,40.7158155,-73.99422366,412,1,In Service,False,29
174,7,16,40.70281858,-73.98765762,414,1,In Service,False,24
175,3,38,40.7047177,-74.00926027,415,1,In Service,False,42
176,16,15,40.68753406,-73.97265183,416,1,In Service,False,31
177,11,11,40.71291224,-74.01020234,417,1,In Service,False,23
178,6,17,40.70224,-73.982578,418,1,In Service,False,23
179,15,6,40.69580705,-73.97355569,419,1,In Service,False,23
180,0,7,40.68764484,-73.96968902,420,3,Not In Service,False,7
181,0,3,40.69573398,-73.97129668,421,3,Not In Service,False,3
182,5,50,40.770513,-73.988038,422,1,In Service,False,55
183,4,34,40.76584941,-73.98690506,423,1,In Service,False,39
184,14,16,40.71754834,-74.01322069,426,1,In Service,False,30
185,2,44,40.701907,-74.013942,427,1,In Service,False,47
186,17,13,40.72467721,-73.98783413,428,1,In Service,False,31
187,9,17,40.7014851,-73.98656928,430,1,In Service,False,27
188,26,2,40.72621788,-73.98379855,432,1,In Service,False,29
189,34,2,40.72955361,-73.98057249,433,1,In Service,False,39
190,1,22,40.74317449,-74.00366443,434,1,In Service,False,27
191,11,35,40.74173969,-73.99415556,435,1,In Service,False,47
192,10,16,40.68216564,-73.95399026,436,1,In Service,False,27
193,2,22,40.6809833854,-73.9500479759,437,1,In Service,False,24
194,29,2,40.72779126,-73.98564945,438,1,In Service,False,31
195,28,6,40.7262807,-73.98978041,439,1,In Service,False,39
196,1,31,40.75255434,-73.97282625,440,1,In Service,False,32
197,2,32,40.756014,-73.967416,441,1,In Service,False,35
198,4,46,40.746647,-73.993915,442,1,In Service,False,51
199,7,16,40.70853074,-73.96408963,443,1,In Service,False,23
200,3,48,40.7423543,-73.98915076,444,1,In Service,False,52
201,37,3,40.72740794,-73.98142006,445,1,In Service,False,42
202,4,34,40.74487634,-73.99529885,446,1,In Service,False,39
203,0,29,40.76370739,-73.9851615,447,1,In Service,False,31
204,23,7,40.75660359,-73.9979009,448,1,In Service,False,31
205,1,29,40.76461837,-73.98789473,449,1,In Service,False,31
206,3,55,40.76227205,-73.98788205,450,1,In Service,False,59
207,14,24,40.74475148,-73.99915362,453,1,In Service,False,39
208,4,30,40.75455731,-73.96592976,454,1,In Service,False,35
209,1,37,40.75001986,-73.96905301,455,1,In Service,False,39
210,4,31,40.7597108,-73.97402311,456,1,In Service,False,35
211,16,23,40.76695317,-73.98169333,457,1,In Service,False,39
212,5,25,40.751396,-74.005226,458,1,In Service,False,31
213,8,36,40.746745,-74.007756,459,1,In Service,False,49
214,15,7,40.71285887,-73.96590294,460,1,In Service,False,23
215,28,6,40.73587678,-73.98205027,461,1,In Service,False,39
216,20,25,40.74691959,-74.00451887,462,1,In Service,False,47
217,1,38,40.75513557,-73.98658032,465,1,In Service,False,39
218,0,21,40.74395411,-73.99144871,466,1,In Service,False,35
219,24,10,40.68312489,-73.97895137,467,1,In Service,False,34
220,41,18,40.7652654,-73.98192338,468,1,In Service,False,59
221,0,57,40.76344058,-73.98268129,469,1,In Service,False,57
222,10,25,40.74345335,-74.00004031,470,1,In Service,False,37
223,26,5,40.71286844,-73.95698119,471,1,In Service,False,31
224,1,37,40.7457121,-73.98194829,472,1,In Service,False,41
225,21,12,40.72110063,-73.9919254,473,1,In Service,False,38
226,1,38,40.7451677,-73.98683077,474,1,In Service,False,39
227,1,46,40.74394314,-73.97966069,476,1,In Service,False,47
228,27,32,40.75640548,-73.9900262,477,1,In Service,False,59
229,18,13,40.76030096,-73.99884222,478,1,In Service,False,31
230,12,19,40.76019252,-73.9912551,479,1,In Service,False,31
231,24,3,40.76669671,-73.99061728,480,1,In Service,False,27
232,15,10,40.71260486,-73.96264403,481,1,In Service,False,25
233,32,5,40.73935542,-73.99931783,482,1,In Service,False,39
234,31,2,40.73223272,-73.98889957,483,1,In Service,False,35
235,4,39,40.75500254,-73.98014437,484,1,In Service,False,44
236,3,35,40.75038009,-73.98338988,485,1,In Service,False,39
237,0,36,40.7462009,-73.98855723,486,1,In Service,False,39
238,24,9,40.73314259,-73.97573881,487,1,In Service,False,36
239,0,0,40.75645824,-73.99372222,488,3,Not In Service,False,0
240,46,12,40.751551,-73.993934,490,1,In Service,False,59
241,3,49,40.74096374,-73.98602213,491,1,In Service,False,53
242,35,13,40.75019995,-73.99093085,492,1,In Service,False,49
243,24,10,40.74734825,-73.99723551,494,1,In Service,False,35
244,19,6,40.76269882,-73.99301222,495,1,In Service,False,25
245,0,47,40.73726186,-73.99238967,496,1,In Service,False,47
246,1,55,40.73704984,-73.99009296,497,1,In Service,False,59
247,0,28,40.74854862,-73.98808416,498,1,In Service,False,30
248,25,10,40.76915505,-73.98191841,499,1,In Service,False,36
249,1,49,40.76228826,-73.98336183,500,1,In Service,False,52
250,34,8,40.744219,-73.97121214,501,1,In Service,False,43
251,22,6,40.714215,-73.981346,502,1,In Service,False,30
252,1,28,40.73827428,-73.98751968,503,1,In Service,False,29
253,41,3,40.73221853,-73.98165557,504,1,In Service,False,45
254,2,34,40.74901271,-73.98848395,505,1,In Service,False,36
255,8,31,40.73912601,-73.97973776,507,1,In Service,False,39
256,22,2,40.76341379,-73.99667444,508,1,In Service,False,24
257,23,12,40.7454973,-74.00197139,509,1,In Service,False,36
258,10,16,40.768254,-73.988639,513,1,In Service,False,27
259,15,36,40.76087502,-74.00277668,514,1,In Service,False,52
260,29,6,40.76009437,-73.99461843,515,1,In Service,False,35
261,0,31,40.75206862,-73.96784384,516,1,In Service,False,31
262,1,58,40.751581,-73.97791,517,1,In Service,False,59
263,8,29,40.74780373,-73.9734419,518,1,In Service,False,38
264,28,32,40.751873,-73.977706,519,1,In Service,False,61
265,1,37,40.75992262,-73.97648516,520,1,In Service,False,39
266,1,50,40.75714758,-73.97207836,522,1,In Service,False,51
267,22,26,40.75466591,-73.99138152,523,1,In Service,False,51
268,3,52,40.75527307,-73.98316936,524,1,In Service,False,55
269,13,26,40.75594159,-74.0021163,525,1,In Service,False,39
270,0,39,40.74765947,-73.98490707,526,1,In Service,False,39
271,15,42,40.744023,-73.976056,527,1,In Service,False,59
272,8,30,40.74290902,-73.97706058,528,1,In Service,False,39
273,16,22,40.7575699,-73.99098507,529,1,In Service,False,41
274,27,3,40.771522,-73.990541,530,1,In Service,False,36
275,32,6,40.71893904,-73.99266288,531,1,In Service,False,39
276,25,18,40.710451,-73.960876,532,1,In Service,False,43
277,0,0,40.75299641,-73.98721619,533,3,Not In Service,False,0
278,3,27,40.70255065,-74.0127234,534,1,In Service,False,31
279,13,15,40.74144387,-73.97536082,536,1,In Service,False,29
280,5,33,40.74025878,-73.98409214,537,1,In Service,False,39
281,12,18,40.71534825,-73.96024116,539,1,In Service,False,31
282,2,28,40.74311555376486,-73.98215353488922,540,1,In Service,False,30
283,20,5,40.736502,-73.97809472,545,1,In Service,False,27
284,2,36,40.74444921,-73.98303529,546,1,In Service,False,38
285,2,24,40.70255088,-73.98940236,2000,1,In Service,False,30
286,2,12,40.699773,-73.979927,2001,1,In Service,False,15
287,16,9,40.716887,-73.963198,2002,1,In Service,False,27
288,35,1,40.733812191966315,-73.98054420948029,2003,1,In Service,False,39
289,4,8,40.70531194,-73.97100056,2005,1,In Service,False,12
290,2,43,40.76590936,-73.97634151,2006,1,In Service,False,49
291,20,4,40.70569254,-74.01677685,2008,1,In Service,False,24
292,15,19,40.71117444,-73.99682619,2009,1,In Service,False,35
293,0,35,40.72165481,-74.00234737,2010,1,In Service,False,39
294,13,22,40.739445,-73.976806,2012,1,In Service,False,36
295,0,43,40.75929124,-73.98859651,2021,1,In Service,False,43
296,2,31,40.759107,-73.959223,2022,1,In Service,False,33
297,0,36,40.75968085,-73.97031366,2023,1,In Service,False,36
298,14,5,40.711512,-74.015756,3002,1,In Service,False,25
299,38,8,40.72036775298455,-73.96165072917938,3016,1,In Service,False,47
300,16,8,40.67890679,-73.94142771,3041,1,In Service,False,24
301,15,3,40.6794268,-73.9298911,3042,1,In Service,False,19
302,14,5,40.6814598,-73.934903,3043,1,In Service,False,19
303,11,16,40.6800105,-73.938475,3044,1,In Service,False,27
304,15,3,40.682601,-73.938037,3046,1,In Service,False,19
305,12,8,40.6823687,-73.944118,3047,1,In Service,False,21
306,7,12,40.68402,-73.94977,3048,1,In Service,False,19
307,7,10,40.68488,-73.96304,3049,1,In Service,False,18
308,13,8,40.6851532,-73.94111,3050,1,In Service,False,21
309,6,16,40.686312,-73.935775,3052,1,In Service,False,23
310,4,19,40.6900815,-73.947915,3053,1,In Service,False,23
311,10,9,40.6894932,-73.942061,3054,1,In Service,False,19
312,3,19,40.6883337,-73.950916,3055,1,In Service,False,23
313,9,13,40.69072549,-73.95133465,3056,1,In Service,False,23
314,16,1,40.69128258,-73.9452416,3057,1,In Service,False,18
315,11,13,40.69237074,-73.93705428,3058,1,In Service,False,24
316,13,4,40.6933982,-73.939877,3059,1,In Service,False,19
317,16,3,40.69425403,-73.94626915,3060,1,In Service,False,19
318,9,12,40.69622937,-73.94371094,3061,1,In Service,False,21
319,8,14,40.69539817,-73.94954908,3062,1,In Service,False,23
320,15,1,40.69527008,-73.95238108,3063,1,In Service,False,20
321,8,15,40.69681963,-73.93756926,3064,1,In Service,False,23
322,19,8,40.70029511,-73.95032283,3065,1,In Service,False,27
323,4,15,40.69957608,-73.94708417,3066,1,In Service,False,19
324,25,1,40.7016657,-73.9437303,3067,1,In Service,False,27
325,8,16,40.7031724,-73.940636,3068,1,In Service,False,24
326,11,14,40.70411791,-73.94818595,3069,1,In Service,False,25
327,18,5,40.70510918,-73.94407279,3070,1,In Service,False,23
328,8,11,40.70538077,-73.94976519,3071,1,In Service,False,19
329,12,12,40.70583339,-73.94644578,3072,1,In Service,False,24
330,20,7,40.70691254,-73.95441667,3073,1,In Service,False,27
331,19,12,40.70767788,-73.94016171,3074,1,In Service,False,31
332,3,30,40.70708701,-73.95796783,3075,1,In Service,False,33
333,19,5,40.70870368,-73.9448625,3076,1,In Service,False,24
334,17,16,40.70877084,-73.95095259,3077,1,In Service,False,33
335,1,26,40.70924826276157,-73.96063148975372,3078,1,In Service,False,27
336,10,10,40.70934,-73.95608,3080,1,In Service,False,21
337,17,6,40.711863,-73.944024,3081,1,In Service,False,23
338,20,5,40.71167351,-73.95141312,3082,1,In Service,False,25
339,6,24,40.71247661,-73.94100005,3083,1,In Service,False,30
340,24,1,40.71469,-73.95739,3085,1,In Service,False,25
341,1,23,40.715143,-73.944507,3086,1,In Service,False,25
342,20,9,40.71413311,-73.95234386,3087,1,In Service,False,30
343,11,8,40.7160751,-73.952029,3088,1,In Service,False,19
344,5,24,40.71774592,-73.95600096,3090,1,In Service,False,31
345,17,13,40.71764,-73.94882,3091,1,In Service,False,31
346,2,25,40.7190095,-73.95852515,3092,1,In Service,False,27
347,20,7,40.71745169,-73.95850939,3093,1,In Service,False,28
348,15,2,40.7169811,-73.94485918,3094,1,In Service,False,18
349,12,10,40.71929301,-73.94500379,3095,1,In Service,False,23
350,21,17,40.71924,-73.95242,3096,1,In Service,False,39
351,27,11,40.724812564400175,-73.94752621650696,3100,1,In Service,False,39
352,15,12,40.72079821,-73.95484712,3101,1,In Service,False,27
353,26,1,40.72179134,-73.9504154,3102,1,In Service,False,27
354,12,15,40.72153267,-73.95782357,3103,1,In Service,False,27
355,5,19,40.724055,-73.955736,3105,1,In Service,False,24
356,16,3,40.72325,-73.94308,3106,1,In Service,False,19
357,24,15,40.72311651,-73.95212324,3107,1,In Service,False,39
358,8,16,40.72557,-73.94434,3108,1,In Service,False,24
359,10,21,40.72606,-73.95621,3109,1,In Service,False,31
360,11,16,40.72708584,-73.95299117,3110,1,In Service,False,27
361,21,12,40.72906,-73.95779,3112,1,In Service,False,33
362,18,9,40.73026,-73.95394,3113,1,In Service,False,27
363,30,3,40.73232194,-73.9550858,3115,1,In Service,False,34
364,34,1,40.73266,-73.95826,3116,1,In Service,False,35
365,27,0,40.73564,-73.95866,3117,1,In Service,False,27
366,23,6,40.73555,-73.95284,3118,1,In Service,False,30
367,6,38,40.74232744,-73.95411749,3119,1,In Service,False,45
368,17,3,40.74161,-73.96044,3120,1,In Service,False,20
369,13,14,40.74524768,-73.94733276,3121,1,In Service,False,27
370,0,30,40.744363287066875,-73.9558732509613,3122,3,Not In Service,False,31
371,0,27,40.74469738,-73.93540375,3123,1,In Service,False,27
372,24,2,40.74731,-73.95451,3124,1,In Service,False,27
373,11,12,40.74708586,-73.94977234,3125,1,In Service,False,23
374,12,22,40.74718234,-73.9432635,3126,1,In Service,False,34
375,23,12,40.74966,-73.9521,3127,1,In Service,False,35
376,0,23,40.75052534,-73.94594845,3128,1,In Service,False,23
377,30,1,40.75110165,-73.94073717,3129,1,In Service,False,31
378,0,31,40.75325964,-73.94335788,3130,1,In Service,False,31
379,0,30,40.76712840349542,-73.96224617958069,3131,1,In Service,False,31
380,2,32,40.76350532,-73.97109243,3132,1,In Service,False,35
381,7,43,40.76312584,-73.96526895,3134,1,In Service,False,51
382,5,36,40.77112927,-73.95772297,3135,1,In Service,False,41
383,32,14,40.766368,-73.971518,3136,1,In Service,False,47
384,1,27,40.77282817,-73.96685276,3137,1,In Service,False,31
385,0,42,40.77118287540658,-73.96409422159195,3139,1,In Service,False,43
386,52,3,40.77140426,-73.9535166,3140,1,In Service,False,55
387,15,41,40.76500525,-73.95818491,3141,1,In Service,False,59
388,1,38,40.7612274,-73.96094022,3142,1,In Service,False,41
389,1,44,40.77632142182271,-73.96427392959595,3143,1,In Service,False,47
390,0,46,40.77677702,-73.9590097,3144,1,In Service,False,46
391,1,43,40.77862688,-73.95772073,3145,1,In Service,False,45
392,2,45,40.77573034,-73.9567526,3146,1,In Service,False,47
393,12,27,40.77801203,-73.95407149,3147,1,In Service,False,39
394,25,6,40.77565541,-73.95068615,3148,1,In Service,False,31
395,20,27,40.77536905,-73.94803392,3150,1,In Service,False,47
396,18,25,40.7728384,-73.94989233,3151,1,In Service,False,43
397,0,41,40.76873687,-73.96119945,3152,1,In Service,False,42
398,0,38,40.76440023,-73.96648977,3155,1,In Service,False,39
399,5,34,40.76663814,-73.95348296,3156,1,In Service,False,39
400,6,21,40.77518615,-73.94446054,3157,1,In Service,False,27
401,1,29,40.77163851,-73.98261428,3158,1,In Service,False,31
402,9,22,40.77492513,-73.98266566,3159,1,In Service,False,31
403,30,8,40.77896784,-73.97374737,3160,1,In Service,False,39
404,13,45,40.7801839724239,-73.97728532552719,3161,1,In Service,False,59
405,25,13,40.78339981,-73.98093133,3162,1,In Service,False,39
406,32,8,40.7734066,-73.97782542,3163,1,In Service,False,43
407,51,16,40.7770575,-73.97898475,3164,1,In Service,False,67
408,40,11,40.77579376683666,-73.9762057363987,3165,1,In Service,False,51
409,24,16,40.78057799010334,-73.98562431335449,3166,1,In Service,False,41
410,14,28,40.77966809007312,-73.98093044757842,3167,1,In Service,False,55
411,25,6,40.78472675,-73.96961715,3168,1,In Service,False,31
412,24,15,40.78720869,-73.98128127,3169,1,In Service,False,39
413,10,24,40.78499979,-73.97283406,3170,1,In Service,False,35
414,25,14,40.78524672,-73.97667321,3171,1,In Service,False,39
415,10,17,40.7785669,-73.97754961,3172,1,In Service,False,27
416,35,3,40.777507027547976,-73.98888587951659,3173,1,In Service,False,39
417,10,21,40.77748046,-73.98288594,3175,1,In Service,False,31
418,24,19,40.77452835,-73.98753759,3176,1,In Service,False,43
419,17,46,40.7867947,-73.977112,3177,1,In Service,False,63
420,22,15,40.78414472,-73.98362492,3178,1,In Service,False,39
421,7,15,40.698617,-73.941342,3179,1,In Service,False,23
422,12,19,40.69878,-73.99712,3180,1,In Service,False,31
423,21,18,40.686931,-74.016966,3182,1,In Service,False,42
424,9,21,40.7162469,-74.0334588,3183,1,In Service,False,30
425,1,11,40.7141454,-74.0335519,3184,1,In Service,False,14
426,0,21,40.7177325,-74.043845,3185,1,In Service,False,22
427,12,30,40.71958611647166,-74.04311746358871,3186,1,In Service,False,42
428,10,12,40.7211236,-74.03805095,3187,1,In Service,False,22
429,10,6,40.7101087,-74.0858489,3188,1,In Service,False,18
430,7,5,40.714402,-74.0887723,3189,1,In Service,False,14
431,4,10,40.7104670233797,-74.07003879547119,3190,1,In Service,False,14
432,7,11,40.7182113,-74.0836394,3191,1,In Service,False,18
433,20,1,40.7112423,-74.0557013,3192,1,In Service,False,22
434,6,12,40.7246050998869,-74.07840594649315,3193,1,In Service,False,18
435,8,14,40.7253399253558,-74.06762212514877,3194,1,In Service,False,22
436,1,36,40.73074262530658,-74.06378388404846,3195,1,In Service,False,38
437,7,11,40.7443187,-74.0439909,3196,1,In Service,False,18
438,14,2,40.748715945380226,-74.04044330120087,3198,1,In Service,False,18
439,4,10,40.7287448,-74.0321082,3199,1,In Service,False,14
440,2,16,40.7111305,-74.0788855,3200,1,In Service,False,18
441,6,12,40.737711,-74.066921,3201,1,In Service,False,18
442,2,16,40.7272235,-74.0337589,3202,1,In Service,False,18
443,21,5,40.727595966,-74.044247311,3203,1,In Service,False,26
